STATE,ID
New York,NY
California,CA
Illinois,IL
Florida,FL
Texas,TX
Pennsylvania,PA
Georgia,GA
District of Columbia,DC
Massachusetts,MA
Arizona,AZ
Washington,WA
Michigan,MI
Minnesota,MN
Colorado,CO
Maryland,MD
Nevada,NV
Oregon,OR
Missouri,MO
Ohio,OH
Indiana,IN
North Carolina,NC
Virginia,VA
Wisconsin,WI
Rhode Island,RI
Utah,UT
Tennessee,TN
Louisiana,LA
Kentucky,KY
Oklahoma,OK
Connecticut,CT
Nebraska,NE
Hawaii,HI
New Mexico,NM
Alabama,AL
South Carolina,SC
Kansas,KS
Iowa,IA
Arkansas,AR
Idaho,ID
Mississippi,MS
Puerto Rico,PR
New Jersey,NJ
Alaska,AK
New Hampshire,NH
North Dakota,ND
Maine,ME
South Dakota,SD
West Virginia,WV
Montana,MT
Delaware,DE
Vermont,VT
Wyoming,WY